category,yr,pilots
advanced,2006,74
advanced,2007,71
advanced,2008,76
advanced,2009,80
advanced,2010,82
advanced,2011,82
advanced,2012,89
advanced,2013,82
advanced,2014,67
advanced,2015,79
advanced,2016,74
advanced,2017,64
advanced,2018,60
four minute,2006,14
four minute,2007,7
four minute,2008,13
four minute,2009,8
four minute,2010,12
four minute,2011,13
four minute,2012,16
four minute,2013,8
four minute,2014,11
four minute,2015,13
four minute,2016,10
four minute,2017,14
four minute,2018,8
intermediate,2006,117
intermediate,2007,119
intermediate,2008,104
intermediate,2009,122
intermediate,2010,109
intermediate,2011,125
intermediate,2012,126
intermediate,2013,100
intermediate,2014,105
intermediate,2015,109
intermediate,2016,118
intermediate,2017,128
intermediate,2018,104
primary,2006,71
primary,2007,85
primary,2008,92
primary,2009,80
primary,2010,118
primary,2011,87
primary,2012,89
primary,2013,84
primary,2014,84
primary,2015,91
primary,2016,88
primary,2017,74
primary,2018,58
sportsman,2006,215
sportsman,2007,185
sportsman,2008,196
sportsman,2009,186
sportsman,2010,212
sportsman,2011,183
sportsman,2012,153
sportsman,2013,178
sportsman,2014,162
sportsman,2015,195
sportsman,2016,188
sportsman,2017,185
sportsman,2018,151
unlimited,2006,47
unlimited,2007,37
unlimited,2008,48
unlimited,2009,39
unlimited,2010,45
unlimited,2011,42
unlimited,2012,43
unlimited,2013,50
unlimited,2014,30
unlimited,2015,28
unlimited,2016,25
unlimited,2017,27
unlimited,2018,25
